nanosEpoch,time,msuk,source,cbidPx,cbidSz,caskPx,caskSz,bidPx,bidSz,askPx,askSz,tradePx,tradeSz,channelId,seqNum,msgIdx
1565157926599984000,2019-08-07 06:05:26.599984,79889147,EUREX,80.785,92,80.785,109,80.785,92,80.785,109,0,0,0,597283,0
1565157926600496000,2019-08-07 06:05:26.600496,79889147,EUREX,80.812,97,80.812,106,80.812,97,80.812,106,0,0,0,597283,0
1565157926600999000,2019-08-07 06:05:26.600999,79889147,EUREX,81.891,110,81.891,90,81.891,110,81.891,90,0,0,0,597283,0
1565157926601483000,2019-08-07 06:05:26.601483,79889147,EUREX,83.138,98,83.138,110,83.138,98,83.138,110,0,0,0,597283,0
1565157926601963000,2019-08-07 06:05:26.601963,79889147,EUREX,83.75,104,83.78,96,83.75,104,83.78,96,0,0,0,597283,0
1565157926602462000,2019-08-07 06:05:26.602462,79889147,EUREX,83.851,100,83.851,108,83.851,100,83.851,108,0,0,0,597283,0
1565157926602947000,2019-08-07 06:05:26.602947,79889147,EUREX,85.517,106,85.527,100,85.517,106,85.527,100,0,0,0,597283,0
1565157926603449000,2019-08-07 06:05:26.603449,79889147,EUREX,84.707,98,84.707,89,84.707,98,84.707,89,0,0,0,597283,0
1565157926603974000,2019-08-07 06:05:26.603974,79889147,EUREX,84.058,102,84.058,95,84.058,102,84.058,95,0,0,0,597283,0
1565157926604488000,2019-08-07 06:05:26.604488,79889147,EUREX,85.456,105,85.536,104,85.456,105,85.536,104,0,0,0,597283,0
1565157926604984000,2019-08-07 06:05:26.604984,79889147,EUREX,85.299,115,85.299,105,85.299,115,85.299,105,0,0,0,597283,0
1565157926605482000,2019-08-07 06:05:26.605482,79889147,EUREX,85.347,88,85.347,98,85.347,88,85.347,98,0,0,0,597283,0
1565157926605972000,2019-08-07 06:05:26.605972,79889147,EUREX,84.042,102,84.062,105,84.042,102,84.062,105,0,0,0,597283,0
1565157926606480000,2019-08-07 06:05:26.606480,79889147,EUREX,82.021,108,82.051,105,82.021,108,82.051,105,0,0,0,597283,0
1565157926606968000,2019-08-07 06:05:26.606968,79889147,EUREX,81.867,102,81.867,92,81.867,102,81.867,92,0,0,0,597283,0
1565157926607457000,2019-08-07 06:05:26.607457,79889147,EUREX,81.433,81,81.453,94,81.433,81,81.453,94,0,0,0,597283,0
1565157926607942000,2019-08-07 06:05:26.607942,79889147,EUREX,82.518,100,82.518,106,82.518,100,82.518,106,0,0,0,597283,0
1565157926608444000,2019-08-07 06:05:26.608444,79889147,EUREX,82.204,91,82.204,102,82.204,91,82.204,102,0,0,0,597283,0
1565157926608926000,2019-08-07 06:05:26.608926,79889147,EUREX,81.259,108,81.329,98,81.259,108,81.329,98,0,0,0,597283,0
1565157926609398000,2019-08-07 06:05:26.609398,79889147,EUREX,80.782,95,80.872,98,80.782,95,80.872,98,0,0,0,597283,0
1565157926609869000,2019-08-07 06:05:26.609869,79889147,EUREX,80.955,107,80.975,108,80.955,107,80.975,108,0,0,0,597283,0
1565157926610347000,2019-08-07 06:05:26.610347,79889147,EUREX,78.919,117,78.919,100,78.919,117,78.919,100,0,0,0,597283,0
1565157926610838000,2019-08-07 06:05:26.610838,79889147,EUREX,79.224,107,79.224,98,79.224,107,79.224,98,0,0,0,597283,0
1565157926611334000,2019-08-07 06:05:26.611334,79889147,EUREX,79.762,100,79.772,99,79.762,100,79.772,99,0,0,0,597283,0
1565157926611863000,2019-08-07 06:05:26.611863,79889147,EUREX,78.93,99,78.93,98,78.93,99,78.93,98,0,0,0,597283,0
1565157926612356000,2019-08-07 06:05:26.612356,79889147,EUREX,78.691,98,78.70100000000001,103,78.691,98,78.70100000000001,103,0,0,0,597283,0
1565157926612866000,2019-08-07 06:05:26.612866,79889147,EUREX,79.393,97,79.393,103,79.393,97,79.393,103,0,0,0,597283,0
1565157926613345000,2019-08-07 06:05:26.613345,79889147,EUREX,78.427,101,78.427,107,78.427,101,78.427,107,0,0,0,597283,0
1565157926613840000,2019-08-07 06:05:26.613840,79889147,EUREX,79.724,103,79.724,106,79.724,103,79.724,106,0,0,0,597283,0
1565157926614353000,2019-08-07 06:05:26.614353,79889147,EUREX,79.599,99,79.599,106,79.599,99,79.599,106,0,0,0,597283,0
1565157926614863000,2019-08-07 06:05:26.614863,79889147,EUREX,81.31,100,81.31,104,81.31,100,81.31,104,0,0,0,597283,0
1565157926615344000,2019-08-07 06:05:26.615344,79889147,EUREX,82.347,112,82.347,97,82.347,112,82.347,97,0,0,0,597283,0
1565157926615837000,2019-08-07 06:05:26.615837,79889147,EUREX,82.891,102,82.891,106,82.891,102,82.891,106,0,0,0,597283,0
1565157926616334000,2019-08-07 06:05:26.616334,79889147,EUREX,82.765,115,82.765,95,82.765,115,82.765,95,0,0,0,597283,0
1565157926616828000,2019-08-07 06:05:26.616828,79889147,EUREX,84.613,96,84.613,104,84.613,96,84.613,104,0,0,0,597283,0
1565157926617323000,2019-08-07 06:05:26.617323,79889147,EUREX,84.347,107,84.377,107,84.347,107,84.377,107,0,0,0,597283,0
1565157926617842000,2019-08-07 06:05:26.617842,79889147,EUREX,84.004,111,84.024,98,84.004,111,84.024,98,0,0,0,597283,0
1565157926618346000,2019-08-07 06:05:26.618346,79889147,EUREX,82.82,101,82.82,103,82.82,101,82.82,103,0,0,0,597283,0
1565157926618854000,2019-08-07 06:05:26.618854,79889147,EUREX,82.51,92,82.51,101,82.51,92,82.51,101,0,0,0,597283,0
